articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
-10,6.818,6.818,other,0,MATCH,NA
-10,0.028,0.028,p,0,MATCH,NA
-10,7.23,7.23,t,0,MATCH,NA
-10,<.001,4.8988311998945464e-5,p,NA,MATCH,TRUE
-10,9.19,9.2,t,0.10881392818280508,MINOR_ERROR,NA
-10,<.001,7.141275817951774e-6,p,NA,MATCH,TRUE
-10,4.29,4.3,t,0.23310023310022812,MINOR_ERROR,NA
-10,0.002,0.002,p,0,MATCH,NA
-10,4.79,4.8,t,0.2087682672233776,MINOR_ERROR,NA
-10,<.001,9.78506348677299e-4,p,NA,MATCH,TRUE
-10,1.02,1.02,t,0,MATCH,NA
-10,0.334,0.334,p,0,MATCH,NA
-10,1.78,1.78,t,0,MATCH,NA
-10,0.108,0.108,p,0,MATCH,NA
-10,4.21,4.3,t,2.1377672209026097,MINOR_ERROR,NA
-10,0.002,0.002,p,0,MATCH,NA
-10,3.392,4.796,t,41.39150943396228,MAJOR_ERROR,NA
-10,0.008,0.001,p,87.5,MAJOR_ERROR,NA
